StationID,LabCode,SampleType,QABatch,Species,Dilution,Concentration,EPCode,Units,StatisticalTest,Mean,N,StdDev,PctControl,SigEffect,QACode,Comment
6242,WS,Result,B08EESEL6242,EE,-99,-99,SP10,PERCENT,t-test,89,5,8.94427,98.88888,NSC,A,
6242,WS,Result,B08MGSEL,MG,-99,-99,NPA,PERCENT,t-test,3.59999,5,4.827,4.2056,SC,AN,"Results were likely affected by ammonia concentration in the overlying water.  For the report, a value of 50% normal-alive was used based on the predicted effect of ammonia."
6243,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,74,5,5.47722,81.91881,SC,A,
6243,WS,Result,B08MGSEL,MG,-99,-99,NPA,PERCENT,t-test,93,5,7.10633,108.64485,NSC,A,
6244,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,86,5,5.47722,95.20294,NSC,A,
6244,WS,Result,B08MGSEL,MG,-99,-99,NPA,PERCENT,t-test,84.4,5,11.94989,98.59812,NSC,A,
6245,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,77,5,9.08295,85.23985,SC,A,
6245,WS,Result,B08MGSEL,MG,-99,-99,NPA,PERCENT,t-test,86.59999,5,8.3845,101.16822,NSC,A,
6250,WS,Result,B08EEBL,EE,-99,-99,SP10,PERCENT,t-test,91,5,10.24695,95.18828,NSC,A,
6251,WS,Result,B08EEBL,EE,-99,-99,SP10,PERCENT,t-test,95.19999,5,3.5637,99.58158,NSC,A,
6252,WS,Result,B08EEBL,EE,-99,-99,SP10,PERCENT,t-test,86,5,6.5192,89.95816,SC,A,
6253,WS,Result,B08EEBL,EE,-99,-99,SP10,PERCENT,t-test,93,5,2.73861,97.28033,NSC,A,
6264,WS,Result,B08EEBL,EE,-99,-99,SP10,PERCENT,t-test,60,5,11.72603,62.7615,SC,A,
6269,WS,Result,B08EEAH,EE,-99,-99,SP10,PERCENT,t-test,83,5,9.74679,90.21739,NSC,A,
6269,WS,Result,B08MGAH,MG,-99,-99,NPA,PERCENT,t-test,85,5,5.83095,97.70114,NSC,A,
6270,WS,Result,B08EEAH,EE,-99,-99,SP10,PERCENT,t-test,92,5,4.47213,100,NSC,A,
6270,WS,Result,B08MGAH,MG,-99,-99,NPA,PERCENT,t-test,85.4,5,4.72228,98.16091,NSC,A,
6271,WS,Result,B08EEAH,EE,-99,-99,SP10,PERCENT,t-test,61,5,9.61769,66.30434,SC,A,
6271,WS,Result,B08MGAH,MG,-99,-99,NPA,PERCENT,t-test,91.59999,5,4.33589,105.28735,NSC,A,
6280,WS,Result,B08EEAH,EE,-99,-99,SP10,PERCENT,t-test,81,5,9.61769,88.04347,SC,A,
6280,WS,Result,B08MGAH,MG,-99,-99,NPA,PERCENT,t-test,93.8,5,8.64291,107.81609,NSC,A,
6282,WS,Result,B08EEAH,EE,-99,-99,SP10,PERCENT,t-test,87,5,2.73861,94.56521,NSC,A,
6282,WS,Result,B08MGAH,MG,-99,-99,NPA,PERCENT,t-test,85.8,5,9.54986,98.62068,NSC,A,
6288,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,83,5,11.51086,87.59894,SC,A,
6288,WS,Result,B08MG02,MG,-99,-99,NPA,PERCENT,t-test,74.25,4,9.91211,92.58104,NSC,C,
6291,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,97,5,4.47213,102.37467,NSC,A,
6291,WS,Result,B08MG02,MG,-99,-99,NPA,PERCENT,t-test,73.19999,5,11.3446,91.27182,NSC,A,
6294,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,95,5,5,100.26385,NSC,A,
6294,WS,Result,B08MG01,MG,-99,-99,NPA,PERCENT,t-test,71.8,5,7.19027,97.55434,NSC,A,
6303,WS,Result,B08EESM,EE,-99,-99,SP10,PERCENT,t-test,99,5,2.23606,105.31914,NSC,A,
6303,WS,Result,B08MG091008,MG,-99,-99,NPA,PERCENT,Not tested,80.8,5,7.52994,81.94725,X,A,
6308,WS,Result,B08EESM,EE,-99,-99,SP10,PERCENT,t-test,99,5,2.23606,105.31914,NSC,A,
6308,WS,Result,B08MG091008,MG,-99,-99,NPA,PERCENT,Not tested,88.19999,5,6.30079,89.45233,X,A,
6311,WS,Result,B08EESM,EE,-99,-99,SP10,PERCENT,t-test,97,5,4.47213,103.19149,NSC,A,
6311,WS,Result,B08MG091008,MG,-99,-99,NPA,PERCENT,Not tested,86.59999,5,5.6833,87.82961,X,A,
6314,WS,Result,B08EESM,EE,-99,-99,SP10,PERCENT,t-test,95,5,5,101.06382,NSC,A,
6314,WS,Result,B08MG091008,MG,-99,-99,NPA,PERCENT,Not tested,81.75,4,20.12254,82.91075,X,X,Too many embryos added
6317,WS,Result,B08EESM,EE,-99,-99,SP10,PERCENT,t-test,93,5,6.7082,98.93617,NSC,A,
6317,WS,Result,B08MG091008,MG,-99,-99,NPA,PERCENT,Not tested,83.8,5,6.30079,84.98986,X,A,
6320,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,90,5,6.12372,94.9868,NSC,A,
6320,WS,Result,B08MG01,MG,-99,-99,NPA,PERCENT,t-test,93.8,5,4.76445,127.44565,NSC,A,
6325,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,93,5,2.73861,98.15303,NSC,A,
6325,WS,Result,B08MG01,MG,-99,-99,NPA,PERCENT,t-test,78.8,5,9.67987,107.06521,NSC,A,
6327,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,90,5,3.53553,94.9868,SC,A,
6327,WS,Result,B08MG01,MG,-99,-99,NPA,PERCENT,t-test,2.2,5,1.78885,2.98913,SC,A,
6328,WS,Result,B08EE082608,EE,-99,-99,SP10,PERCENT,t-test,87,5,5.70087,91.82057,SC,A,
6328,WS,Result,B08MG01,MG,-99,-99,NPA,PERCENT,t-test,85.19999,5,7.52994,115.76087,NSC,A,
