"Station","Depth","Region","SMB","POTW","River","Level1Prob","Level1Inclusion","Level1AreaWt"
"1026","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1027","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1028","D","C","Y","H","Z",0.45,0.2378,4.2044
"1034","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1040","M","C","Y","H","Z",0.45,0.2378,4.2044
"1042","S","C","Y","Z","E",0.7,0.37,2.7029
"1045","M","C","Y","H","Z",0.45,0.2378,4.2044
"1046","S","C","Y","Z","E",0.7,0.37,2.7029
"1049","M","C","Y","H","Z",0.45,0.2378,4.2044
"1052","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1056","D","C","Y","H","Z",0.45,0.2378,4.2044
"1059","D","C","Y","H","Z",0.45,0.2378,4.2044
"1065","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1067","D","C","Y","H","Z",0.45,0.2378,4.2044
"1072","M","C","Y","H","Z",0.45,0.2378,4.2044
"1074","D","C","Y","H","Z",0.45,0.2378,4.2044
"1077","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1078","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1081","S","C","Y","Z","Z",0.23,0.1216,8.2261
"1085","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1090","S","C","Y","Z","Z",0.23,0.1216,8.2261
"1091","M","C","Y","H","Z",0.45,0.2378,4.2044
"1096","M","C","Y","H","Z",0.45,0.2378,4.2044
"1100","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1103","M","C","Y","H","Z",0.45,0.2378,4.2044
"1105","M","C","Y","H","Z",0.45,0.2378,4.2044
"1106","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1108","M","C","Y","H","Z",0.45,0.2378,4.2044
"1109","M","C","Y","H","Z",0.45,0.2378,4.2044
"1110","M","C","Y","H","Z",0.45,0.2378,4.2044
"1118","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1119","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1120","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1121","M","C","Y","H","Z",0.45,0.2378,4.2044
"1122","M","C","Y","H","Z",0.45,0.2378,4.2044
"1123","S","C","Y","Z","Z",0.23,0.1216,8.2261
"1126","M","C","Y","H","Z",0.45,0.2378,4.2044
"1128","M","C","Y","H","Z",0.45,0.2378,4.2044
"1129","M","C","Y","H","Z",0.45,0.2378,4.2044
"1131","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1142","M","C","Y","H","Z",0.45,0.2378,4.2044
"1146","M","C","Y","H","Z",0.45,0.2378,4.2044
"1148","M","C","Y","H","Z",0.45,0.2378,4.2044
"1150","M","C","Y","Z","Z",0.23,0.1216,8.2261
"1152","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1159","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1160","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1162","D","C","Y","H","Z",0.45,0.2378,4.2044
"1168","D","C","Y","H","Z",0.45,0.2378,4.2044
"1169","D","C","Y","H","Z",0.45,0.2378,4.2044
"1170","M","C","Y","H","Z",0.45,0.2378,4.2044
"1173","M","C","Y","L","Z",0.2,0.1057,9.46
"1175","D","C","Y","Z","Z",0.23,0.1216,8.2261
"1187","M","C","Y","L","Z",0.2,0.1057,9.46
"1191","D","C","N","L","Z",0.2,0.1057,9.46
"1194","S","C","N","L","Z",0.2,0.1057,9.46
"1195","D","C","N","L","Z",0.2,0.1057,9.46
"1208","S","C","N","Z","F",0.7,0.37,2.7029
"1214","D","C","N","L","Z",0.2,0.1057,9.46
"1222","S","C","N","Z","Z",0.08,0.0423,23.65
"1223","S","C","N","Z","F",0.7,0.37,2.7029
"1224","S","C","N","Z","F",0.7,0.37,2.7029
"1227","S","C","N","Z","Z",0.08,0.0423,23.65
"1232","M","C","N","L","Z",0.2,0.1057,9.46
"1236","S","C","N","Z","Z",0.08,0.0423,23.65
"1256","S","C","N","Z","Z",0.08,0.0423,23.65
"1267","M","C","N","L","Z",0.2,0.1057,9.46
"1272","S","C","N","Z","Z",0.08,0.0423,23.65
"1287","S","C","N","Z","Z",0.08,0.0423,23.65
"1300","S","C","N","Z","Z",0.08,0.0423,23.65
"1306","S","C","N","Z","Z",0.08,0.0423,23.65
"1312","M","C","N","Z","Z",0.08,0.0423,23.65
"1321","M","C","N","Z","Z",0.08,0.0423,23.65
"1328","M","C","N","Z","Z",0.08,0.0423,23.65
"1332","M","C","N","Z","Z",0.08,0.0423,23.65
"1340","M","C","N","Z","Z",0.08,0.0423,23.65
"1348","S","C","N","Z","Z",0.08,0.0423,23.65
"1355","M","C","N","Z","Z",0.08,0.0423,23.65
"1378","S","C","N","Z","G",0.7,0.37,2.7029
"1399","S","C","N","O","G",0.7,0.37,2.7029
"1401","S","C","N","O","G",0.7,0.37,2.7029
"1406","M","C","N","O","Z",0.2,0.1057,9.46
"1415","M","C","N","O","Z",0.2,0.1057,9.46
"1417","M","C","N","O","Z",0.2,0.1057,9.46
"1418","M","C","N","Z","Z",0.08,0.0423,23.65
"1424","S","C","N","Z","Z",0.08,0.0423,23.65
"1426","M","C","N","O","Z",0.2,0.1057,9.46
"1444","D","C","N","O","Z",0.2,0.1057,9.46
"1450","D","C","N","O","Z",0.2,0.1057,9.46
"1455","M","C","N","O","Z",0.2,0.1057,9.46
"1468","D","C","N","O","Z",0.2,0.1057,9.46
"1469","D","C","N","O","Z",0.2,0.1057,9.46
"1476","D","C","N","Z","Z",0.08,0.0423,23.65
"1533","S","S","N","Z","Z",0.08,0.0423,23.65
"1550","S","S","N","Z","Z",0.08,0.0423,23.65
"1551","D","S","N","Z","Z",0.08,0.0423,23.65
"1560","M","S","N","Z","Z",0.08,0.0423,23.65
"1570","M","S","N","Z","Z",0.08,0.0423,23.65
"1571","D","S","N","Z","Z",0.08,0.0423,23.65
"1572","M","S","N","Z","Z",0.08,0.0423,23.65
"1574","M","S","N","Z","Z",0.08,0.0423,23.65
"1585","M","S","N","Z","Z",0.08,0.0423,23.65
"1595","M","S","N","Z","Z",0.08,0.0423,23.65
"1617","S","S","N","Z","Z",0.08,0.0423,23.65
"1634","S","S","N","Z","H",0.7,0.37,2.7029
"1635","S","S","N","Z","H",0.7,0.37,2.7029
"1650","S","S","N","Z","I",0.7,0.37,2.7029
"1654","S","S","N","Z","I",0.7,0.37,2.7029
"1655","D","S","N","Z","Z",0.08,0.0423,23.65
"1660","M","S","N","Z","Z",0.08,0.0423,23.65
"1662","D","S","N","Z","Z",0.08,0.0423,23.65
"1667","M","S","N","Z","Z",0.08,0.0423,23.65
"1684","S","S","N","Z","Z",0.08,0.0423,23.65
"1728","M","S","N","Z","Z",0.08,0.0423,23.65
"1734","M","S","N","Z","Z",0.08,0.0423,23.65
"1737","D","S","N","Z","Z",0.08,0.0423,23.65
"1739","S","S","N","Z","Z",0.08,0.0423,23.65
"1757","M","S","N","S","Z",0.2,0.1057,9.46
"1767","M","S","N","S","Z",0.2,0.1057,9.46
"1769","M","S","N","S","Z",0.2,0.1057,9.46
"1770","M","S","N","S","Z",0.2,0.1057,9.46
"1774","D","S","N","Z","Z",0.08,0.0423,23.65
"1776","S","S","N","S","Z",0.2,0.1057,9.46
"1780","S","S","N","S","Z",0.2,0.1057,9.46
"1791","M","S","N","S","J",0.7,0.37,2.7029
"1793","S","S","N","S","J",0.7,0.37,2.7029
"1794","M","S","N","S","Z",0.2,0.1057,9.46
"1797","M","S","N","S","Z",0.2,0.1057,9.46
"1799","S","S","N","S","J",0.7,0.37,2.7029
"1804","S","S","N","S","J",0.7,0.37,2.7029
"1811","S","S","N","S","J",0.7,0.37,2.7029
"1814","M","S","N","S","Z",0.2,0.1057,9.46
"1823","S","S","N","S","Z",0.2,0.1057,9.46
"1825","D","S","N","S","Z",0.2,0.1057,9.46
"1828","M","S","N","S","Z",0.2,0.1057,9.46
"1833","M","S","N","S","Z",0.2,0.1057,9.46
"1836","M","S","N","S","Z",0.2,0.1057,9.46
"1839","M","S","N","S","Z",0.2,0.1057,9.46
"1850","D","S","N","S","Z",0.2,0.1057,9.46
"1867","S","S","N","Z","Z",0.08,0.0423,23.65
"1871","M","S","N","S","Z",0.2,0.1057,9.46
"1874","D","S","N","Z","Z",0.08,0.0423,23.65
"1888","D","S","N","Z","Z",0.08,0.0423,23.65
"1892","M","S","N","Z","Z",0.08,0.0423,23.65
"1903","D","S","N","S","Z",0.2,0.1057,9.46
"1905","D","S","N","Z","Z",0.08,0.0423,23.65
"1908","D","S","N","Z","Z",0.08,0.0423,23.65
"1916","D","S","N","Z","Z",0.08,0.0423,23.65
"1937","M","S","N","Z","Z",0.08,0.0423,23.65
"1944","S","S","N","Z","Z",0.08,0.0423,23.65
"1998","D","S","N","Z","Z",0.08,0.0423,23.65
"2001","M","S","N","Z","Z",0.08,0.0423,23.65
"2011","M","S","N","Z","Z",0.08,0.0423,23.65
